name,stars,user_review
Guineo 2 lb,1,Estaban todos manchados y aguados
Zanahoria 0.5 lb,1,Me llegó más de la cuenta
Papas Nacionales 0.5 lb,1,Me enviaron 2 papas totalmente dañadas no se podis salvar por ningún lado🙈
Lechuga Mantequilla Express 5 oz,1,No llego
Zanahoria,1,"Todas tienen sus puntas negras, un desastre."
Mano De Banano Maduro Exportación 1 kg,1,Solo llego una
Lechuga Morada,1,Horrible
Naranja Ombligo Importada Egipto 1 Unidad,1,Creí que era 1kg y es 1 unidad
Cebolla,1,4 de 5 están en mal estado
Carne Picada Premium Al Vacío Fresca,1,"La carne está en mal estado, acabo de abrir un paquete y tiene un olor muy fuerte"
Filet Congelado De Pechuga De Pollo 2 kg,1,Tienen olor feo
Pechito De Cerdo Con Manto,1,"Pura grasa, incomible, directamente está para tirar"
Guineo 2 lb,1,Muy verdes
Naranja 1 Unidad,1,Estaban muy maduras
Cuadril Churrasquero Frigor 2.1 kg Aprox,1,Pedí 2 kilos 100 gramos y me llegó de 1 kilo 900 gramos ya eso es un bife menos no pueden pues sacarle la etiqueta del peso y mandarle asi a uno me pareció raro y lo pese y faltan 200 gramos de carne
Apio Fresco,1,El apio llegó dañado las raíces negras y las hojas como podridas y con algo viscoso no entiendo como pueden enviar algo así
Papaya Huerto Urbano 1 Unidad,1,Papaya aplastada
Muslo Deshuesado Congelado Pollo Cibao Aproximadamente 2 a 3.5 lb,1,"El pollo está dañado, huele manío ."
Morrón Rojo,1,Horrible el morrón es más verde que rojo
Espinaca Carrefour Atado 1 Unidad,1,Enviaron un atado menos
Palta Hass  Selección 115 g,1,"Sin madurar y chica como tamaño de ciruela , para tirar a la basura"
Vacio Novillito,1,Pedí vacío y me enviaron tapa de asado
Palta Hass Chilena,1,"Pedi 1 kilo y medio de palta y sólo me llegó 1 kilo, además estaban horribles y super blandas."
Guineo 2 lb,1,Estan apolismados
Palta Hass  Selección 115 g,1,No esta madura
Pera,1,Pague por las uvas y no me entregaron
Roast Beef Fresco Al Vacío Novillo,1,La carne vino literalmente podrida con gusanos.una estafa
Falda De Novillo,1,Tenia más grasa que carne!
Filete De Pollo Asado Plumrose Línea Diaria 110 g,1,Descongelado
Cilantro 1 Unidad,1,Me llego en pésimo estado. Inutilizable el cilantro
Banana Premium Ecuador,1,Muy maduras y llegaron aplastadas
Banana Premium Ecuador,1,En mal estado
Peceto Feteado El Mercado,1,tiene feo olo
Tomate Redondo Selección 500 g,1,Horrible
Papaya Huerto Urbano 1 Unidad,1,Papaya verde
Cebolla Selección 1 kg,1,No vino la promo
